osm_id,latitude,longitude,name,type
292004245,46.0769744,11.141749,Biblioteca Argentario,library
428313995,46.0517426,11.1276494,Biblioteca Clarina,library
1559090545,46.0663953,11.1388567,BUM - Biblioteca Universitaria Mesiano,library
1607714595,46.0060602,11.1278038,Biblioteca Mattarello,library
1721783679,46.0627341,11.1244168,Biblioteca del Polo Umanistico,library
3292585477,46.0648792,11.1534216,Biblioteca Povo,library
4715779117,46.1266441,11.1161334,Biblioteca di Meano,library
4924544965,46.0626921,11.1152767,Gino Tomasi,library
7095449512,46.1079123,11.1123636,Biblioteca Gardolo,library
7095449513,46.0378105,11.106449,Biblioteca Ravina,library
7095449514,46.0716169,11.0599502,Biblioteca Sopramonte,library
7095449515,46.0171551,11.1059033,Punto di prestito Romagnano,library
7095449516,46.0402507,11.1332977,Punto di prestito Madonna Bianca,library
7095449517,46.0857594,11.0628437,Piccola biblioteca di Cadine,library
7095449518,46.1081273,11.1442395,Punto di prestito Montevaccino,library
7095449519,46.0898203,11.1314618,Punto di prestito Martignano,library
9196004472,46.0685816,11.1254832,CISMed - Centro Interdipartimentale di Scienze Mediche,university
9630961821,46.0663033,11.1166087,Sala studio Cavazzani,library
9859813787,46.0643383,11.1164915,Polo universitario delle professioni sanitarie,university
10033381157,46.0674665,11.1189775,Facoltà di Giurisprudenza Entrata,library
1155540,46.0656582,11.1355634,Biblioteca San Bernardino,library
10981990849,46.0704115,11.1310588,College La Collina,student_accommodation
11160363209,46.0730511,11.1289144,Biblioteca dei Cappuccini,library
12301854152,46.0825531,11.1228301,Polo universitario delle professioni sanitarie,university
24581559,46.0466378,11.1347276,Studentato San Bartolameo,student_accommodation
819927358,46.0669804,11.1395393,Laboratori Ingegneria,university
819927358,46.0663683,11.1398154,Mensa e bar Mesiano,restaurant
819927358,46.0645438,11.1400773,Laboratorio Idraulica,university
819927358,46.0644425,11.1397296,Laboratorio di metrologia,university
36843504,46.0480768,11.1459807,Biblioteca Villazzano,library
7704585208,46.0661841,11.1169523,ex Biblioteca universitaria centrale,university
67197001,46.0620987,11.1231034,Seminario Maggiore,university
70882135,46.0685568,11.1181241,Collegio Bernardo Clesio,student_accommodation
72455760,46.0679071,11.1163113,Dipartimento di Lettere e Filosofia e Studi Internazionali,university
1366801083,46.0687239,11.1257251,Il Centro Interdipartimentale di Scienze Mediche (CISMed),university
4264239318,46.0709242,11.1208778,Biblioteca dei Ragazzi,library
91501515,46.0722295,11.1271173,Biblioteca della Fondazione - Museo Storico del Trentino,library
126733787,46.1054395,11.1115782,Villa Foyer,student_accommodation
208909969,46.0656454,11.1177066,Dipartimento di Economia e Management,university
215037366,46.0677605,11.1191643,Facoltà di Giurisprudenza,university
72455760,46.0678439,11.1164666,Palazzo Paolo Prodi,university
5775655090,46.0596466,11.1155914,"Central Library, BUC - Biblioteca Universitaria Centrale",library
275318443,46.0664097,11.1506218,"Povo 0, Dipartimenti di Matematica e Fisica",university
275318445,46.0674763,11.149296,"Povo 1, Dipartimento di Ingegneria e Scienza dell'Informazione",university
275318462,46.0669407,11.1501332,BUP - Biblioteca Universitaria Povo,library
275318465,46.0668484,11.1503081,Mensa Povo 1,fast_food
385162547,46.0618785,11.1218162,Vigilianum - Polo Culturale Diocesano,library
498631940,46.0733553,11.118293,Studentato Mayer,student_accommodation
668474307,46.0087621,11.1341461,LNiF/CIMeC e BIOtech,university
668474307,46.0087621,11.1341461,Centro Sportivo Universitario di Mattarello,university
11726705877,46.0676553,11.1493131,"Povo 2, Dipartimento di Ingegneria Industriale",university
