route_id,route_name
396,3 - Cortesano Gardolo P.Dante Villazzano 3
400,5 - Piazza Dante P.Fiera Povo Oltrecastello
402,7 - Canova Melta Piazza Dante Gocciadoro
404,8 - Centochiavi Piazza Dante Mattarello
406,9 - P.Dante S.Donà Cognola Villamontagna
408,10 - P.Dante Martignano Cognola / Montevaccino
411,12 - P.Dante Via Ghiaie Ravina Romagnano
415,14 - P.Dante Via Sanseverino Belvedere Ravina
423,B - Piazza Dante Laste Piazza Dante
424,11 - Spini Di Gardolo Via Brennero P.Dante
460,NP - Navetta Parcheggi: Zuffo M.Te Baldo Zuffo
466,13 - P.Dante Rosmini S.Rocco Povo Polo Soc.
478,15 - Piazza Dante Interporto Spini Di Gardolo
484,16 - Centochiavi Martignano Cognola Povo
488,1 - 01 Corso Bettini Ospedale Lizzana Marco
490,2 - Costa Corso Rosmini S.Giorgio
496,6 - 06 Nomi Pomarolo/Volano Rosmini Mori
497,5 - Mori Villa Lagarina Pomarolo Nomi
504,N2 - Costa Corso Rosmini
508,N3 - Castellano Stazione Fs
510,N5 - C.So Bettini Isera Nomi
511,N6 - Nomi Besenello Stazione Fs
512,7 - Noriglio Rosmini Campana Dei Caduti
516,N1 - C.So Bettini Lizzana Marco Mori
531,Fu - Funivia Trento Sardagna
533,"C - Rsa ""S.Bartolomeo"" Rsa ""Angeli Custodi"""
535,5/ - P.Dante P.Fiera Università Mesiano Povo
536,1 - Ospedale P.Dante Sopramonte
538,2 - Piedic. Stazione Osp.S.Chiara Regione Piedic.
539,4 - Gardolo Roncafort Stazione V.Deg. Mad.Bianca
541,6 - Vela P.Dante Villazzano Grotta
543,17 - Piazza Dante Via Bolzano Lamar Lavis
545,A - P.Dante Osp. S.Chiara Clarina P.Dante
562,A - Brione Cesari Ospedale Podesta' Brione
563,B - Ossario Osp. S.Giorgio Osp. Ossario
566,AB - Via Magazol S.Giorgio Cornacalda
568,G - Gardolo Gardolo Di Mezzo E Spini
570,CM - Povo Borino Celva Passo Cimirlo
572,8 - Ospedale Stazione Fs Isera Villa Lag.
574,4 - 04 Villa Lagarina Brione Stazione Fs Isera
575,3 - 03 Pedersano Brione Stazione Fs Lenzima
