id,latitude,longitude,name,type,osm_id
it.trentour.domains.core.PointOfInterest.52af11431512e121e8dd32ee,46.1441,11.1186,MASO FRANCH GOURMET E RELAIS,hotel,1219539037
it.trentour.domains.core.PointOfInterest.52af11441512e121e8dd3531,46.083546,11.174873,MASO CANTANGHEL,ristorante,1178258840
it.trentour.domains.core.PointOfInterest.529ef58f3391baee95b52c72,46.42895910089672,11.69501436993644,Ski Stadium «Aloch»,impiantosci,27217071
it.trentour.domains.core.PointOfInterest.529ef58f3391baee95b52c5a,46.32887671502965,11.60168067650075,Stadio del Salto «Dal Ben»,stadiosalto,26821697
it.trentour.domains.core.PointOfInterest.529ef58f3391baee95b52c54,46.39306803994184,11.79966541195878,Passo San Pellegrino,impiantosci,1223552917
it.trentour.domains.core.PointOfInterest.529ef58f3391baee95b52c66,46.28583945210038,11.46457011172124,Palaghiaccio Comunale di Cavalese,stadioghiaccio,25163770
it.trentour.domains.core.PointOfInterest.529ef58f3391baee95b52c78,46.12657227184545,11.25197968539958,Ice Rink Piné Stadium,stadioghiaccio,331336536
it.trentour.domains.core.PointOfInterest.529ef58f3391baee95b52c4e,46.07192313475388,11.2355336310515,Palaghiaccio Comunale di Pergine,stadioghiaccio,26771965
it.trentour.domains.core.PointOfInterest.529ef58f3391baee95b52c8a,46.35474,11.492738,Centro Fondo Lavazé,snowpark,672492528
it.trentour.domains.core.PointOfInterest.529ef58f3391baee95b52c7e,46.04093342207616,11.12254142761231,Palaghiaccio di Trento,stadioghiaccio,3102593635
it.trentour.domains.core.PointOfInterest.529ef58f3391baee95b52c84,46.02759,11.04461,Monte Bondone,snowpark,93670030
it.trentour.domains.core.PointOfInterest.529ef58f3391baee95b52c60,46.28242112351411,11.52382518929917,Stadio del Fondo di Lago di Tesero,impiantosci,95209176
it.trentour.domains.core.PointOfInterest.529ef58f3391baee95b52c6c,46.46179584266813,11.78428310124411,Palazzo del Ghiaccio «Gianmario Scola»,stadioghiaccio,231698166
it.trentour.domains.core.PointOfInterest.52af11461512e121e8dd374c,46.126493,11.246791,Bar da Gigi,bar,24772737
it.trentour.domains.core.PointOfInterest.52af11451512e121e8dd36c8,46.145526,11.220262,POLIAMBULATORIO LASES,servizisanitari,236435028
it.trentour.domains.core.PointOfInterest.52af114a1512e121e8dd3bd2,46.131138,11.245898,Giovannini Roberto,abbigliamento,102478154
it.trentour.domains.core.PointOfInterest.52af11451512e121e8dd36c2,46.161014,11.186613,ZENDRON LUIGINO,alimentari,1246628870
it.trentour.domains.core.PointOfInterest.52af11421512e121e8dd30f2,46.144245,11.193966,Alimentari di Betti Valerio,alimentari,103129519
it.trentour.domains.core.PointOfInterest.52af114c1512e121e8dd3e1e,46.169333,11.217748,CANTINA PELZ,prodottitipici,42674330
it.trentour.domains.core.PointOfInterest.52af11461512e121e8dd3740,46.13239,11.247135,Anesi Alessandro,bar,832929590
it.trentour.domains.core.PointOfInterest.52af11421512e121e8dd30dd,46.162608,11.131155,Bel Bait,bar,85405253
it.trentour.domains.core.PointOfInterest.52af11441512e121e8dd358f,46.1826,11.3259,MONTECROCE,ristorante,1301468594
it.trentour.domains.core.PointOfInterest.52af114c1512e121e8dd3e24,46.175583,11.220356,Gasperat Angela,parrucchiera,42178555
it.trentour.domains.core.PointOfInterest.52af11451512e121e8dd36aa,46.220313,11.29388,POLIAMBULATORIO GRAUNO,servizisanitari,10043028882
it.trentour.domains.core.PointOfInterest.52af11421512e121e8dd30ea,46.154355,11.309748,ALIMENTARI MATTIVI AOFELIA,alimentari,1189004621
it.trentour.domains.core.PointOfInterest.52af11461512e121e8dd373a,46.150383,11.222351,BAR ESSO,bar,269349968
it.trentour.domains.core.PointOfInterest.52af11421512e121e8dd30f8,46.230069,11.297689,Alimentari da Sandro,alimentari,253573331
it.trentour.domains.core.PointOfInterest.52af11411512e121e8dd2eac,46.169251,11.210193,AUTOFFICINA TECNOAUTO SNC DI GOTTARDI DAVIDE E FABIAO (CEMBRA),automoto,23125342
it.trentour.domains.core.PointOfInterest.52af11431512e121e8dd328e,46.127995,11.24419,POLIAMBULATORIO BASELGA DI PINE',servizisanitari,1229695692
it.trentour.domains.core.PointOfInterest.52af114a1512e121e8dd3bd8,46.1305,11.2461,GIOVANNINI EGIDIO,appartamentovacanze,1183728573
it.trentour.domains.core.PointOfInterest.52af114b1512e121e8dd3d3a,46.081964,11.202111,CARROZZERIA SB (CIVEZZANO),automoto,293233413
it.trentour.domains.core.PointOfInterest.52af11431512e121e8dd329d,46.161666,11.303384,POLIAMBULATORIO BEDOLLO,servizisanitari,122919173
it.trentour.domains.core.PointOfInterest.52af11421512e121e8dd31cb,46.145899,11.219779,CAFFE' BREAK,bar,167520968
it.trentour.domains.core.PointOfInterest.52af11421512e121e8dd30e3,46.160548,11.187638,BEAUTY (LISIGNANO),negozio,1245762615
it.trentour.domains.core.PointOfInterest.52af11411512e121e8dd2dc3,46.14318,11.194926,INTERNET POINT DI ALBIANO,wifi,528355965
it.trentour.domains.core.PointOfInterest.52af11451512e121e8dd36d4,46.1341,11.2475,IORIATTI NORMA,appartamentovacanze,1732692637
it.trentour.domains.core.PointOfInterest.52af114a1512e121e8dd3bcc,46.230278,11.300556,CONDOMINIO PERLA,appartamentovacanze,253576180
it.trentour.domains.core.PointOfInterest.52af11421512e121e8dd30cc,46.134553,11.248063,Bianco,bar,2967453837
it.trentour.domains.core.PointOfInterest.52af114b1512e121e8dd3d40,46.126967,11.259296,CARROZZERIA TOMASI G. (BASELGA DI PINE'),automoto,293235722
it.trentour.domains.core.PointOfInterest.52af114b1512e121e8dd3d46,46.134296,11.247468,NORMA (BASELGA DI PINE'),parrucchiera,26135722
it.trentour.domains.core.PointOfInterest.52af11431512e121e8dd3400,46.141796,11.195371,OFFICINA SEVEGNANI (ALBIANO),automoto,1183435147
it.trentour.domains.core.PointOfInterest.52af114a1512e121e8dd3be4,46.13412,11.247143,Gioielleria Andreatta Sas ,negozio,26135722
it.trentour.domains.core.PointOfInterest.52af11411512e121e8dd2eba,46.15039,11.271371,AUTOFFICINA VALENTINI DI VALENTINI DAVIDE (BASELGA DI PINE'),automoto,605427556
it.trentour.domains.core.PointOfInterest.52af114c1512e121e8dd3e30,46.1335,11.2487,ALBERGO VILLA ANITA,hotel,26122960
it.trentour.domains.core.PointOfInterest.52af11411512e121e8dd2dd9,46.160113,11.234057,Famiglia Cooperativa di Lona ,alimentari,702075256
it.trentour.domains.core.PointOfInterest.52af11421512e121e8dd31bc,46.1716,11.2199,EUROPA,ristorante,520622911
it.trentour.domains.core.PointOfInterest.52af11481512e121e8dd399e,46.135029,11.249345,Svaldi Francesca,profumeria,24794532
it.trentour.domains.core.PointOfInterest.52af114b1512e121e8dd3c80,46.132386,11.244372,Colibri Artigianato,souvenir,293233391
it.trentour.domains.core.PointOfInterest.52af11411512e121e8dd2dd2,46.105933,11.18465,FAMIGLIA COOPERATIVA PERGINESE S.C.A.R.L.,alimentari,29236099
it.trentour.domains.core.PointOfInterest.52af114b1512e121e8dd3c74,46.15052,11.22256,DISTRIBUTORE DI CARBURANTI,stazioneservizio,269348447
it.trentour.domains.core.PointOfInterest.52af11411512e121e8dd2de0,46.127995,11.24419,INTERNET POINT DI BASELGA DI PINE',wifi,1229695692
it.trentour.domains.core.PointOfInterest.52af114a1512e121e8dd3bb4,46.186722,11.26064,GIACOMOZZI,ristorante,253215463
it.trentour.domains.core.PointOfInterest.52af11411512e121e8dd2dca,46.129722,11.243889,Itinerario Riserva Naturalistica del Laghestel,attrazionenaturale,293233405
it.trentour.domains.core.PointOfInterest.52af11421512e121e8dd2f8e,46.0959,11.2345,WELLNESS HOTEL BELVEDERE WELLNESS & FAMILY,wellness,82604931
it.trentour.domains.core.PointOfInterest.52af11461512e121e8dd379a,46.082876,11.200151,Sottobosco,prodottitipici,138707747
it.trentour.domains.core.PointOfInterest.52af114a1512e121e8dd3bae,46.160524,11.1877,DALLAPORTA LUIGI ,alimentari,256197490
it.trentour.domains.core.PointOfInterest.52af11411512e121e8dd2de7,46.207829,11.268043,Famiglia Coperativa,alimentari,123631727
