service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0000000012017091120180607,1,1,1,1,1,1,1,20170911,20180607
0000000022017091120180607,1,1,1,1,1,1,0,20170911,20180607
0000000032017091120180607,1,1,1,1,1,1,0,20170911,20180607
0000000052017091120180607,0,0,0,0,0,0,1,20170911,20180607
0000000092017091120180607,1,1,1,1,1,0,0,20170911,20180607
0000000102017091120180607,1,1,1,1,1,0,0,20170911,20180607
0000000252017091120180607,0,0,0,0,0,1,0,20170911,20180607
0000000592017091120180607,1,1,1,1,1,1,0,20170911,20180607
0000000592017092520180607,1,1,1,1,1,1,0,20170925,20180607
0000000592017102520180607,1,1,1,1,1,1,0,20171025,20180607
0000000592017102520180609,1,1,1,1,1,1,0,20171025,20180609
0000000592017112020180607,1,1,1,1,1,1,0,20171120,20180607
0000000592017113020180607,1,1,1,1,1,1,0,20171130,20180607
0000000592018012920180607,1,1,1,1,1,1,0,20180129,20180607
0000000602017091120180607,1,1,1,1,1,1,0,20170911,20180607
0000000602017102520180607,1,1,1,1,1,1,0,20171025,20180607
0000000622017091120180607,0,0,0,0,0,0,1,20170911,20180607
0000000662017091120180607,1,1,1,1,1,0,0,20170911,20180607
0000000662017112020180607,1,1,1,1,1,0,0,20171120,20180607
0000000662018012920180607,1,1,1,1,1,0,0,20180129,20180607
0000000672017091120180607,1,1,1,1,1,0,0,20170911,20180607
0000000672017100220180607,1,1,1,1,1,0,0,20171002,20180607
0000000672017110920180607,1,1,1,1,1,0,0,20171109,20180607
0000000672018012920180607,1,1,1,1,1,0,0,20180129,20180607
0000000682017091120180607,1,1,1,1,0,0,0,20170911,20180607
0000000692017091120180607,0,0,0,0,1,0,0,20170911,20180607
0000000772017091120180607,0,0,0,0,0,1,0,20170911,20180607
0000000772017102520180607,0,0,0,0,0,1,0,20171025,20180607
0000000822017091120180607,0,0,0,0,0,1,0,20170911,20180607
0000000822017113020180607,0,0,0,0,0,1,0,20171130,20180607
0000000822018012920180607,0,0,0,0,0,1,0,20180129,20180607
0000001092017091120180607,1,1,1,1,1,1,0,20170911,20180607
