route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
496,0000000672017091120180607,0002864212017091120180607,Corso Bettini Liceo,0,D527_R5E604_sub2,1
490,0000000672017091120180607,0002864222017091120180607,Viale Dei Colli Sc. Alberghiera,1,D1089_R5218a_Ritorno_sub2,2
490,0000000672017091120180607,0002864232017091120180607,Piazzale Orsi Ist. Veronesi,0,D498_R5E253_sub1,2
572,0000000672017091120180607,0002864242017091120180607,S.Lucia Chiesa,0,D1054_R5E405_sub2,1
488,0000000662017091120180607,0002864252017091120180607,Ss.240 "Alla Staffa",0,D488_R5E101_sub1,1
488,0000000662017091120180607,0002864262017091120180607,Rovereto Autostazione,0,D491_R5E104_sub1,1
504,0000000822017091120180607,0002864312017091120180607,Costa Capolinea,0,D1089_R5218a_Ritorno_sub2,2
504,0000000822017091120180607,0002864322017091120180607,Corso Rosmini Posta,0,D378_R5220_Ritorno_sub1,2
511,0000000822017091120180607,0002864332017091120180607,Stazione Fs,0,D1157_R5653a_Andata_sub2,2
516,0000000822017091120180607,0002864342017091120180607,Via Manzoni Via Paoli,0,D1130_R5524a_Ritorno_sub2,2
490,0000000602017091120180607,0002864372017091120180607,Moietto,1,D504_R5E262_sub2,2
490,0000000602017091120180607,0002864382017091120180607,Cisterna Capolinea,1,D501_R5E256_sub1,2
490,0000000602017091120180607,0002864392017091120180607,Toldi,0,D499_R5E254_sub2,2
496,0000000672017091120180607,0002864402017091120180607,Mori Piazzale Kennedy,0,D463_R5615_Andata_sub2,1
496,0000000772017091120180607,0002864412017091120180607,Sano,0,D526_R5E603_sub1,1
496,0000000672017091120180607,0002864422017091120180607,Sano,0,D526_R5E603_sub1,1
496,0000000772017091120180607,0002864432017091120180607,Sano,0,D526_R5E603_sub1,1
572,0000000602017091120180607,0002864442017091120180607,Villa Lagarina Via Marconi,0,D1054_R5E405_sub2,1
572,0000000602017091120180607,0002864452017091120180607,Stazione Fs,0,D1061_R5E802_sub1,1
516,0000000822017091120180607,0002864462017091120180607,Mori Via Don Sturzo,0,D1150_R5617c_Andata_sub2,2
496,0000000672017091120180607,0002864492017091120180607,Tierno Via Terra Nera,0,D1057_R5E609_sub2,1
496,0000000592017091120180607,0002864512017091120180607,Mori Via Don Sturzo,0,D1016_E5651a_Andata_sub1,1
496,0000000592017091120180607,0002864522017091120180607,Mori Via Don Sturzo,0,D1020_E5665a_Andata_sub2,1
496,0000000592017091120180607,0002864532017091120180607,Nomi Piazza Springa,0,D1135_R5602c_Ritorno_PRINCIPALE_sub1,1
488,0000000592017091120180607,0002864542017091120180607,Marco,0,D1150_R5617c_Andata_sub2,1
488,0000000662017091120180607,0002864552017091120180607,Marco,0,D1150_R5617c_Andata_sub2,1
488,0000000592017091120180607,0002864562017091120180607,Marco,0,D1150_R5617c_Andata_sub2,1
488,0000000662017091120180607,0002864572017091120180607,Marco,0,D1150_R5617c_Andata_sub2,1
488,0000000592017091120180607,0002864582017091120180607,Marco,0,D1150_R5617c_Andata_sub2,1
488,0000000662017091120180607,0002864592017091120180607,Marco,0,D1150_R5617c_Andata_sub2,1
488,0000000662017091120180607,0002864602017091120180607,Corso Bettini Liceo,0,D367_R5176_Ritorno_sub2,1
488,0000000592017091120180607,0002864612017091120180607,Corso Bettini Liceo,0,D367_R5176_Ritorno_sub2,1
488,0000000592017091120180607,0002864622017091120180607,Corso Rosmini Monumento,0,D269_F5126a_Ritorno_sub1,1
488,0000000662017091120180607,0002864632017091120180607,Corso Bettini Liceo,0,D269_F5126a_Ritorno_sub1,1
496,0000000592017091120180607,0002864642017091120180607,Mori Via Don Sturzo,0,D1020_E5665a_Andata_sub2,1
496,0000000592017091120180607,0002864652017091120180607,Mori Via Don Sturzo,0,D1016_E5651a_Andata_sub1,1
496,0000000592017091120180607,0002864662017091120180607,Mori Via Don Sturzo,0,D1016_E5651a_Andata_sub1,1
496,0000000592017091120180607,0002864672017091120180607,Mori Via Don Sturzo,0,D1016_E5651a_Andata_sub1,1
496,0000000662017091120180607,0002864682017091120180607,Mori Via Don Sturzo,0,D1016_E5651a_Andata_sub1,1
496,0000000592017091120180607,0002864692017091120180607,Mori Via Don Sturzo,0,D1020_E5665a_Andata_sub2,1
496,0000000662017091120180607,0002864702017091120180607,Stazione Fs,0,D1080_R5131b_Andata_sub1,1
496,0000000662017091120180607,0002864712017091120180607,Mori Via Don Sturzo,0,D1020_E5665a_Andata_sub2,1
496,0000000592017091120180607,0002864722017091120180607,Mori Via Don Sturzo,0,D1020_E5665a_Andata_sub2,1
496,0000000592017091120180607,0002864732017091120180607,Mori Via Don Sturzo,0,D1020_E5665a_Andata_sub2,1
496,0000000592017091120180607,0002864742017091120180607,Mori Via Don Sturzo,0,D1020_E5665a_Andata_sub2,1
496,0000000592017091120180607,0002864752017091120180607,Mori Via Don Sturzo,0,D1020_E5665a_Andata_sub2,1
496,0000000592017091120180607,0002864762017091120180607,Mori Via Don Sturzo,0,D1020_E5665a_Andata_sub2,1
496,0000000592017091120180607,0002864772017091120180607,Mori Via Don Sturzo,0,D1016_E5651a_Andata_sub1,1
496,0000000592017091120180607,0002864782017091120180607,Mori Via Don Sturzo,0,D1016_E5651a_Andata_sub1,1
496,0000000592017091120180607,0002864792017091120180607,Mori Via Don Sturzo,0,D1016_E5651a_Andata_sub1,1
496,0000000592017091120180607,0002864802017091120180607,Nomi Piazza Springa,0,D1135_R5602c_Ritorno_PRINCIPALE_sub1,1
496,0000000592017091120180607,0002864812017091120180607,Nomi Piazza Springa,0,D1156_R5652a_Ritorno_sub2,1
496,0000000662017091120180607,0002864822017091120180607,Nomi Piazza Springa,0,D1135_R5602c_Ritorno_PRINCIPALE_sub1,1
496,0000000592017091120180607,0002864832017091120180607,Nomi Piazza Springa,0,D1135_R5602c_Ritorno_PRINCIPALE_sub1,1
496,0000000592017091120180607,0002864842017091120180607,Nomi Piazza Springa,0,D1135_R5602c_Ritorno_PRINCIPALE_sub1,1
496,0000000592017091120180607,0002864852017091120180607,Nomi Piazza Springa,0,D1135_R5602c_Ritorno_PRINCIPALE_sub1,1
496,0000000662017091120180607,0002864862017091120180607,Nomi Piazza Springa,0,D1135_R5602c_Ritorno_PRINCIPALE_sub1,1
496,0000000662017091120180607,0002864872017091120180607,Mori Via Don Sturzo,0,D1020_E5665a_Andata_sub2,1
496,0000000662017091120180607,0002864882017091120180607,Mori Via Don Sturzo,0,D1020_E5665a_Andata_sub2,1
496,0000000662017091120180607,0002864892017091120180607,Mori Via Don Sturzo,0,D1016_E5651a_Andata_sub1,1
496,0000000592017091120180607,0002864902017091120180607,Mori Via Don Sturzo,0,D1020_E5665a_Andata_sub2,1
496,0000000662017091120180607,0002864912017091120180607,Mori Via Don Sturzo,0,D1016_E5651a_Andata_sub1,1
496,0000000662017091120180607,0002864922017091120180607,Mori Via Don Sturzo,0,D1016_E5651a_Andata_sub1,1
496,0000000662017091120180607,0002864932017091120180607,Nomi Piazza Springa,0,D1135_R5602c_Ritorno_PRINCIPALE_sub1,1
496,0000000662017091120180607,0002864942017091120180607,Nomi Piazza Springa,0,D1135_R5602c_Ritorno_PRINCIPALE_sub1,1
496,0000000662017091120180607,0002864952017091120180607,Nomi Piazza Springa,0,D1135_R5602c_Ritorno_PRINCIPALE_sub1,1
